code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	2873810	2138229	735581
DE-BY	3612948	2724373	888575
DE-BE	1019867	724412	295455
DE-BB	660923	494346	166577
DE-HB	206862	157617	49245
DE-HH	483629	376151	107478
DE-HE	1603156	1149473	453683
DE-MV	422421	321544	100877
DE-NI	2054627	1547797	506830
DE-NW	4940756	3763385	1177371
DE-RP	1091655	837477	254178
DE-SL	296498	222303	74195
DE-SN	1109041	810968	298073
DE-ST	584031	457516	126515
DE-SH	781461	607163	174298
DE-TH	601593	427595	173998
