code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	2946817	2203519	743298
DE-BY	3698989	2807017	891972
DE-BE	1041209	742205	299004
DE-BB	677243	508781	168462
DE-HB	210626	160325	50301
DE-HH	496622	388754	107868
DE-HE	1641283	1184930	456353
DE-MV	436523	334328	102195
DE-NI	2109317	1597573	511744
DE-NW	5063327	3871093	1192234
DE-RP	1121984	859955	262029
DE-SL	304808	228945	75863
DE-SN	1132336	832577	299759
DE-ST	601596	473578	128018
DE-SH	798611	617770	180841
DE-TH	616583	439856	176727
