code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	3192428	2430116	762312
DE-BY	3984531	3082772	901759
DE-BE	1105406	793159	312247
DE-BB	732035	556633	175402
DE-HB	224187	171336	52851
DE-HH	541802	433199	108603
DE-HE	1769012	1305175	463837
DE-MV	486586	381229	105357
DE-NI	2311928	1790620	521308
DE-NW	5475757	4238644	1237113
DE-RP	1222943	937536	285407
DE-SL	329218	250099	79119
DE-SN	1213563	894224	319339
DE-ST	657611	521914	135697
DE-SH	860984	661483	199501
DE-TH	666300	471119	195181
