code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	3726242	2908489	817753
DE-BY	4580454	3637647	942807
DE-BE	1250853	910760	340093
DE-BB	805658	624673	180985
DE-HB	253816	193471	60345
DE-HH	623036	498669	124367
DE-HE	2078079	1595311	482768
DE-MV	574433	464478	109955
DE-NI	2725771	2179142	546629
DE-NW	6371339	5041758	1329581
DE-RP	1423151	1091807	331344
DE-SL	378517	293870	84647
DE-SN	1397584	1000144	397440
DE-ST	761317	605037	156280
DE-SH	991225	752085	239140
DE-TH	774048	539384	234664
