code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	4240736	3330692	910044
DE-BY	5140210	4083915	1056295
DE-BE	1400999	1023994	377005
DE-BB	900396	685944	214452
DE-HB	287676	214092	73584
DE-HH	706021	563861	142160
DE-HE	2387157	1878104	509053
DE-MV	650263	526325	123938
DE-NI	3114281	2511187	603094
DE-NW	7220703	5778601	1442102
DE-RP	1624562	1219816	404746
DE-SL	429273	338858	90415
DE-SN	1576455	1120049	456406
DE-ST	852137	672155	179982
DE-SH	1125562	838040	287522
DE-TH	870902	601410	269492
