code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	4351257	3419328	931929
DE-BY	5302233	4210935	1091298
DE-BE	1438736	1052506	386230
DE-BB	931234	705923	225311
DE-HB	297650	220042	77608
DE-HH	724866	578853	146013
DE-HE	2456386	1939791	516595
DE-MV	675210	544496	130714
DE-NI	3214526	2597471	617055
DE-NW	7422015	5950399	1471616
DE-RP	1673533	1250393	423140
DE-SL	441483	349253	92230
DE-SN	1623337	1146450	476887
DE-ST	879953	691935	188018
DE-SH	1160028	860859	299169
DE-TH	897030	617759	279271
