code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	4448148	3493821	954327
DE-BY	5440625	4314480	1126145
DE-BE	1470476	1075691	394785
DE-BB	957176	721688	235488
DE-HB	305628	225540	80088
DE-HH	744969	594505	150464
DE-HE	2521956	1996242	525714
DE-MV	695092	558995	136097
DE-NI	3307993	2673321	634672
DE-NW	7607616	6102844	1504772
DE-RP	1717481	1275397	442084
DE-SL	452759	358234	94525
DE-SN	1659351	1164389	494962
DE-ST	898806	705309	193497
DE-SH	1187025	878663	308362
DE-TH	915165	627072	288093
