code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	4562026	3567730	994296
DE-BY	5556630	4381270	1175360
DE-BE	1497579	1090630	406949
DE-BB	967221	725504	241717
DE-HB	315041	232341	82700
DE-HH	766005	605130	160875
DE-HE	2583102	2048352	534750
DE-MV	701615	562619	138996
DE-NI	3359857	2710302	649555
DE-NW	7746999	6210075	1536924
DE-RP	1738212	1286872	451340
DE-SL	459265	363731	95534
DE-SN	1698087	1174652	523435
DE-ST	910594	708859	201735
DE-SH	1210613	889448	321165
DE-TH	928307	638408	289899
