code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	4634755	3614700	1020055
DE-BY	5649046	4446626	1202420
DE-BE	1522301	1108113	414188
DE-BB	986534	735705	250829
DE-HB	320235	235218	85017
DE-HH	777189	612767	164422
DE-HE	2636773	2085444	551329
DE-MV	714098	571124	142974
DE-NI	3418090	2753570	664520
DE-NW	7905775	6324384	1581391
DE-RP	1770698	1306234	464464
DE-SL	467350	369963	97387
DE-SN	1724511	1186266	538245
DE-ST	926344	717365	208979
DE-SH	1231524	900719	330805
DE-TH	942876	646522	296354
