code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	5268410	4028069	1240341
DE-BY	6368489	4990668	1377821
DE-BE	1703655	1239382	464273
DE-BB	1114386	812627	301759
DE-HB	357057	257581	99476
DE-HH	854467	665343	189124
DE-HE	2967320	2328258	639062
DE-MV	794509	626394	168115
DE-NI	3817325	3049767	767558
DE-NW	8869664	7015861	1853803
DE-RP	1970369	1443859	526510
DE-SL	523240	408966	114274
DE-SN	1912294	1302149	610145
DE-ST	1024732	776296	248436
DE-SH	1396932	1002124	394808
DE-TH	1041879	719375	322504
