date	dosen_kumulativ	dosen_differenz_zum_vortag	dosen_erst_differenz_zum_vortag	dosen_zweit_differenz_zum_vortag	dosen_biontech_kumulativ	dosen_moderna_kumulativ	dosen_astrazeneca_kumulativ	personen_erst_kumulativ	personen_voll_kumulativ	impf_quote_erst	impf_quote_voll	indikation_alter_dosen	indikation_beruf_dosen	indikation_medizinisch_dosen	indikation_pflegeheim_dosen	indikation_alter_erst	indikation_beruf_erst	indikation_medizinisch_erst	indikation_pflegeheim_erst	indikation_alter_voll	indikation_beruf_voll	indikation_medizinisch_voll	indikation_pflegeheim_voll
2020-12-27	23716	23716	23716	0	23716	0	0	23716	0	0.00029	0.00000	8696	7838	1281	13120	8696	7838	1281	13120	0	0	0	0
2020-12-28	42456	18740	18740	0	42456	0	0	42456	0	0.00051	0.00000	16485	15230	1967	21952	16485	15230	1967	21952	0	0	0	0
2020-12-29	85104	42648	42648	0	85104	0	0	85104	0	0.00102	0.00000	28915	36789	3043	38679	28915	36789	3043	38679	0	0	0	0
2020-12-30	143105	58001	58001	0	143105	0	0	143105	0	0.00172	0.00000	46327	68218	4644	59604	46327	68218	4644	59604	0	0	0	0
2020-12-31	181845	38740	38740	0	181845	0	0	181845	0	0.00219	0.00000	59446	86924	6462	74991	59446	86924	6462	74991	0	0	0	0
2021-01-01	206594	24749	24749	0	206594	0	0	206594	0	0.00248	0.00000	67191	96888	7537	87590	67191	96888	7537	87590	0	0	0	0
2021-01-02	258774	52180	52180	0	258774	0	0	258774	0	0.00311	0.00000	86569	120731	10018	108676	86569	120731	10018	108676	0	0	0	0
2021-01-03	283760	24986	24986	0	283760	0	0	283760	0	0.00341	0.00000	96486	131583	10948	119251	96486	131583	10948	119251	0	0	0	0
2021-01-04	332469	48709	48709	0	332469	0	0	332469	0	0.00400	0.00000	111834	156684	13607	135073	111834	156684	13607	135073	0	0	0	0
2021-01-05	384943	52474	52474	0	384943	0	0	384943	0	0.00463	0.00000	128091	184220	16042	153256	128091	184219	16042	153256	0	1	0	0
2021-01-06	444109	59166	59166	0	444109	0	0	444109	0	0.00534	0.00000	146036	215198	19454	174446	146036	215197	19454	174446	0	1	0	0
2021-01-07	502569	58460	58460	0	502569	0	0	502569	0	0.00604	0.00000	163844	245612	22458	192269	163844	245611	22458	192269	0	1	0	0
2021-01-08	563016	60447	60447	0	563016	0	0	563016	0	0.00677	0.00000	183431	277231	25750	212044	183427	277230	25750	212044	4	1	0	0
2021-01-09	620337	57321	57321	0	620337	0	0	620337	0	0.00746	0.00000	205825	301989	28063	234986	205817	301988	28063	234986	8	1	0	0
2021-01-10	653616	33279	33279	0	653616	0	0	653616	0	0.00786	0.00000	219050	316101	29332	246792	219040	316100	29332	246792	10	1	0	0
2021-01-11	719335	65719	65719	0	719335	0	0	719335	0	0.00865	0.00000	242011	347469	32277	267060	242001	347468	32277	267060	10	1	0	0
2021-01-12	801419	82084	82084	0	801419	0	0	801419	0	0.00964	0.00000	267526	389811	35429	291299	267516	389810	35429	291299	10	1	0	0
2021-01-13	900503	99084	99084	0	899708	795	0	900503	0	0.01083	0.00000	299945	442040	38904	320875	299935	442039	38904	320875	10	1	0	0
2021-01-14	1000728	100225	100111	114	995285	5443	0	1000614	114	0.01203	0.00000	326088	493421	41214	353736	326023	493416	41214	353736	65	5	0	0
2021-01-15	1093553	92825	92397	428	1082660	10893	0	1093011	542	0.01314	0.00001	355825	540722	44831	381887	355647	540638	44822	381798	178	84	9	89
2021-01-16	1150651	57098	56701	397	1137900	12751	0	1149712	939	0.01382	0.00001	376792	565808	46870	401756	376423	565617	46800	401465	369	191	70	291
2021-01-17	1195301	44650	30896	13754	1181136	14165	0	1180608	14693	0.01420	0.00018	393566	585454	48593	419680	386817	580308	47928	411366	6749	5146	665	8314
2021-01-18	1269758	74457	58085	16372	1253555	16203	0	1238693	31065	0.01489	0.00037	420826	621532	50700	440253	408307	609308	49501	424511	12519	12224	1199	15742
2021-01-19	1365153	95395	68166	27229	1347429	17724	0	1306859	58294	0.01571	0.00070	453295	670721	53955	467367	431320	645473	51963	440997	21975	25248	1992	26370
2021-01-20	1494090	128937	78283	50654	1475074	19016	0	1385142	108948	0.01666	0.00131	495322	733423	57852	509986	458496	682805	54962	463609	36826	50618	2890	46377
2021-01-21	1590218	96128	60693	35435	1570103	20115	0	1445835	144383	0.01738	0.00174	532798	777486	62080	541012	483012	709683	58188	481204	49786	67803	3892	59808
2021-01-22	1705821	115603	84246	31357	1684369	21452	0	1530081	175740	0.01840	0.00211	574100	829725	65657	583595	511749	747411	60873	508840	62351	82314	4784	74755
2021-01-23	1798861	93040	49044	43996	1777026	21835	0	1579125	219736	0.01899	0.00264	608393	870782	68919	614881	530193	767466	62056	522557	78200	103316	6863	92324
2021-01-24	1865162	66301	38212	28089	1843083	22079	0	1617337	247825	0.01945	0.00298	630940	898082	69809	638950	543532	782644	62377	534352	87408	115438	7432	104598
2021-01-25	1963116	97954	58191	39763	1939563	23553	0	1675528	287588	0.02015	0.00346	670545	941364	73227	664633	571200	805029	64024	547095	99345	136335	9203	117538
2021-01-26	2065853	102737	53108	49629	2040712	25141	0	1728636	337217	0.02079	0.00405	708699	989581	76909	692338	595954	825715	65335	559073	112745	163866	11574	133265
2021-01-27	2179382	113529	54057	59472	2152330	27052	0	1782693	396689	0.02144	0.00477	749192	1044255	81978	724258	619213	848046	67126	571263	129979	196209	14852	152995
2021-01-28	2279977	100595	51582	49013	2246442	33535	0	1834275	445702	0.02206	0.00536	785795	1093134	86100	750629	640887	870903	68649	583126	144908	222231	17451	167503
2021-01-29	2389792	109815	56060	53755	2354853	34939	0	1890335	499457	0.02273	0.00601	826236	1144752	91371	778862	662870	895023	70858	594173	163366	249729	20513	184689
2021-01-30	2477970	88178	39590	48588	2442157	35813	0	1929925	548045	0.02321	0.00659	859816	1185529	95028	804556	678985	913340	72258	602038	180831	272189	22770	202518
2021-01-31	2540675	62705	31325	31380	2504520	36155	0	1961250	579425	0.02358	0.00697	883358	1213953	97058	820280	692554	927628	73414	607817	190804	286325	23644	212463
2021-02-01	2656630	115955	50093	65862	2618898	37732	0	2011343	645287	0.02418	0.00776	924216	1271800	100607	849314	712621	952417	75230	617709	211595	319383	25377	231605
2021-02-02	2784308	127678	57926	69752	2744548	39760	0	2069269	715039	0.02488	0.00860	965536	1338654	105504	881553	731423	985394	77709	627415	234113	353260	27795	254138
2021-02-03	2927511	143203	58061	85142	2882293	45218	0	2127330	800181	0.02558	0.00962	1018106	1407759	110948	919414	753947	1013213	79848	638451	264159	394546	31100	280963
2021-02-04	3063392	135881	63143	72738	3013148	50244	0	2190473	872919	0.02634	0.01050	1063700	1477496	115442	951995	775227	1048606	82032	647793	288473	428890	33410	304202
2021-02-05	3197138	133746	59870	73876	3142824	54314	0	2250343	946795	0.02706	0.01138	1113677	1542540	120414	984104	798960	1078383	83538	657563	314717	464157	36876	326541
2021-02-06	3301222	104084	48716	55368	3243507	57715	0	2299059	1002163	0.02764	0.01205	1149516	1594297	124919	1011208	816525	1103748	85390	666655	332991	490549	39529	344553
2021-02-07	3360706	59484	32961	26523	3299532	61174	0	2332020	1028686	0.02804	0.01237	1172160	1621801	127616	1025059	829413	1119775	86624	672339	342747	502026	40992	352720
2021-02-08	3467127	106421	54801	51620	3401977	65134	16	2386821	1080306	0.02870	0.01299	1223183	1664080	131470	1044642	860862	1137765	88428	679907	362321	526315	43042	364735
2021-02-09	3591992	124865	59665	65200	3523466	68404	122	2446486	1145506	0.02942	0.01377	1281469	1716586	135728	1066996	896587	1155976	91113	688407	384882	560610	44615	378589
2021-02-10	3742561	150569	75276	75293	3661600	73336	7625	2521762	1220799	0.03032	0.01468	1344292	1787425	139492	1095063	935288	1185694	92737	698615	409004	601731	46755	396448
2021-02-11	3886584	144023	71454	72569	3785835	79298	21451	2593216	1293368	0.03118	0.01555	1402759	1857801	144790	1120551	969627	1217191	95011	708154	433132	640610	49779	412397
2021-02-12	4045436	158852	80279	78573	3921228	88835	35373	2673495	1371941	0.03215	0.01650	1472901	1930564	151020	1147716	1010961	1249932	97709	717984	461940	680632	53311	429732
2021-02-13	4155422	109986	63330	46656	4015500	92214	47708	2736825	1418597	0.03291	0.01706	1527747	1974948	155579	1165420	1045465	1274622	99503	724841	482282	700326	56076	440579
2021-02-14	4222207	66785	39802	26983	4072454	95066	54687	2776627	1445580	0.03339	0.01738	1565738	1999456	157190	1173927	1069845	1288000	100353	728402	495893	711456	56837	445525
2021-02-15	4349061	126854	70813	56041	4180929	98386	69746	2847440	1501621	0.03424	0.01806	1632026	2048589	161063	1193665	1110340	1313607	102486	735022	521686	734982	58577	458643
2021-02-16	4485408	136347	81557	54790	4289228	103020	93160	2928997	1556411	0.03522	0.01871	1697293	2107368	163709	1211840	1152050	1349126	104004	741822	545243	758242	59705	470018
2021-02-17	4634925	149517	94754	54763	4412417	110091	112417	3023751	1611174	0.03636	0.01937	1775751	2165594	168714	1233685	1207755	1382500	106962	750387	567996	783094	61752	483298
2021-02-18	4781085	146160	93651	52509	4527440	117242	136403	3117402	1663683	0.03748	0.02000	1850446	2225495	172124	1253931	1259811	1419284	108739	758298	590635	806211	63385	495633
2021-02-19	4931857	150772	97267	53505	4646523	125162	160172	3214669	1717188	0.03865	0.02065	1929887	2284521	176880	1271877	1316986	1454256	111335	765086	612901	830265	65545	506791
2021-02-20	5044485	112628	74961	37667	4732880	130624	180981	3289630	1754855	0.03955	0.02110	1989528	2327876	180477	1285151	1359656	1482555	113567	769041	629872	845321	66910	516110
2021-02-21	5130045	85560	56622	28938	4798695	134845	196505	3346252	1783793	0.04024	0.02145	2036762	2359461	182989	1294361	1393113	1502995	114692	770820	643649	856466	68297	523541
2021-02-22	5282255	152210	99233	52977	4917701	142287	222267	3445485	1836770	0.04143	0.02209	2114650	2422196	187865	1311882	1450961	1538763	117686	777158	663689	883433	70179	534724
2021-02-23	5442605	160350	104555	55795	5045037	148610	248958	3550040	1892565	0.04269	0.02276	2193328	2490052	193364	1329692	1510168	1576114	121056	784591	683160	913938	72308	545101
2021-02-24	5617585	174980	116992	57988	5177926	156205	283454	3667032	1950553	0.04409	0.02345	2278240	2565800	199960	1347819	1573990	1621571	125377	791929	704250	944229	74583	555890
2021-02-25	5797651	180066	127394	52672	5303113	162377	332161	3794426	2003225	0.04562	0.02409	2358708	2650908	206674	1364497	1635970	1678454	130420	799433	722738	972454	76254	565064
2021-02-26	5993286	195635	136792	58843	5436165	169497	387624	3931218	2062068	0.04727	0.02479	2444774	2744960	213489	1381856	1700212	1742457	135433	806010	744562	1002503	78056	575846
2021-02-27	6140010	146724	107862	38862	5530158	173656	436196	4039080	2100930	0.04857	0.02526	2508855	2816515	220440	1392435	1747971	1795434	140570	809389	760884	1021081	79870	583046
2021-02-28	6253716	113706	85704	28002	5597459	177277	478980	4124784	2128932	0.04960	0.02560	2556010	2874800	225828	1398812	1782821	1841181	145030	811014	773189	1033619	80798	587798
2021-03-01	6445357	191641	141385	50256	5726563	185047	533747	4266169	2179188	0.05130	0.02620	2657706	2951359	233364	1412318	1856880	1900636	151270	815760	800826	1050723	82094	596558
2021-03-02	6662213	216856	161196	55660	5870373	193432	598408	4427365	2234848	0.05323	0.02687	2766532	3044288	242608	1427813	1935207	1973590	158317	822104	831325	1070698	84291	605709
2021-03-03	6902800	240587	173354	67233	6032508	204951	665341	4600719	2302081	0.05532	0.02768	2885643	3144162	254335	1447967	2017462	2049916	167511	831157	868181	1094246	86824	616810
2021-03-04	7141374	238574	176734	61840	6175377	217524	748473	4777453	2363921	0.05744	0.02842	2996130	3251855	266537	1464617	2093135	2136848	177314	836844	902995	1115007	89223	627773
2021-03-05	7392243	250869	187541	63328	6317166	229878	845199	4964994	2427249	0.05970	0.02919	3110096	3368825	281212	1479211	2168886	2234990	189100	842141	941210	1133835	92112	637070
2021-03-06	7585936	193693	146441	47252	6425297	237797	922842	5111435	2474501	0.06146	0.02975	3198806	3456873	291835	1487646	2224382	2312413	198145	844622	974424	1144460	93690	643024
2021-03-07	7733942	148006	113461	34545	6509269	244431	980242	5224896	2509046	0.06282	0.03017	3271510	3520267	300145	1492681	2272169	2368274	205590	846154	999341	1151993	94555	646527
2021-03-08	7965299	231357	178112	53245	6645696	255788	1063815	5403008	2562291	0.06497	0.03081	3390443	3611751	316944	1505475	2353782	2446177	220670	851792	1036661	1165574	96274	653683
2021-03-09	8212586	247287	192291	54996	6786131	267455	1159000	5595299	2617287	0.06728	0.03147	3510921	3713310	334434	1519040	2434985	2535999	236240	858159	1075936	1177311	98194	660881
2021-03-10	8490328	277742	210280	67462	6944472	279138	1266718	5805579	2684749	0.06981	0.03228	3643258	3825352	355085	1535266	2517938	2636435	254816	867093	1125320	1188917	100269	668173
2021-03-11	8776937	286609	223767	62842	7098365	291570	1387002	6029346	2747591	0.07250	0.03304	3774906	3951613	375917	1549149	2602557	2750255	274178	874319	1172349	1201358	101739	674830
2021-03-12	9073395	296458	227277	69181	7248181	305717	1519497	6256623	2816772	0.07523	0.03387	3907428	4087916	396449	1561903	2681735	2874325	292906	881178	1225693	1213591	103543	680725
2021-03-13	9308340	234945	186720	48225	7361115	314431	1632794	6443343	2864997	0.07748	0.03445	4016055	4193386	416400	1568183	2751175	2972242	311837	884450	1264880	1221144	104563	683733
2021-03-14	9472767	164427	129184	35243	7449264	319265	1704238	6572527	2900240	0.07903	0.03487	4100019	4255016	432381	1570927	2806592	3028789	326806	885987	1293427	1226227	105575	684940
2021-03-15	9704314	231547	174485	57062	7596553	330717	1777044	6747012	2957302	0.08113	0.03556	4232201	4328653	451701	1581105	2892848	3093500	345030	891865	1339353	1235153	106671	689240
2021-03-16	9880668	176354	110485	65869	7761634	340471	1778563	6857497	3023171	0.08245	0.03635	4358524	4362322	463655	1591114	2967553	3115381	355349	896408	1390971	1246941	108306	694706
2021-03-17	10075641	194973	118419	76554	7940460	355167	1780014	6975916	3099725	0.08388	0.03727	4500902	4397805	475510	1600763	3048383	3138803	365320	900984	1452519	1259002	110190	699779
2021-03-18	10261545	185904	113096	72808	8109313	371064	1781168	7089012	3172533	0.08524	0.03815	4638711	4430057	487214	1610035	3127830	3159120	375028	905362	1510881	1270937	112186	704673
